Year,Title,Director,MPAA,Runtime,J,E,R,K,S
1996,Everyone Says I Love You,Woody Allen,R,101,0,0,1,0,0
1972,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Woody Allen,R,87,1,1,1,0,1
1987,Evil Dead II,Sam Raimi,NR,85,1,1,1,1,1
1981,"Evil Dead, The",Sam Raimi,NC-17,85,1,1,1,1,1
1973,"Exorcist, The",William Friedkin,R,131,1,1,1,1,1
1999,Eyes Wide Shut,Stanley Kubrick,R,159,1,1,1,1,1
1957,"Face in the Crowd, A",Elia Kazan,NR,125,0,0,0,0,0
1966,Fahrenheit 451,François Truffaut,NR,112,0,0,0,0,0
2004,Fahrenheit 9/11,Michael Moore,NR,122,1,1,1,1,1
1964,Fail-Safe,Sidney Lumet,NR,112,0,0,0,0,0
1976,Family Plot,Alfred Hitchcock,PG,121,0,0,0,0,1
1982,Fanny and Alexander,Ingmar Bergman,R,188,0,0,0,0,0
1940,Fantasia,James Algar,G,120,1,1,1,1,1
2002,Far From Heaven,Todd Haynes,PG-13,107,0,0,1,0,1
1993,Farewell My Concubine,Kaige Chen,R,171,1,0,0,0,0
1996,Fargo,Joel Coen,R,98,1,1,1,1,1
1928,"Farmer's Wife, The",Alfred Hitchcock,NR,97,0,0,0,0,0
1926,Faust,F.W. Murnau,NR,116,0,1,1,0,1
1998,Fear and Loathing in Las Vegas,Terry Gilliam,R,118,0,1,1,1,1
1951,Fearless,Christian Nyby,NR,87,0,0,0,0,0
1993,Fearless,Peter Weir,R,122,0,0,0,0,1
1990,"Femme Nikita, La",Luc Besson,R,115,1,0,0,1,1
1986,Ferris Bueller’s Day Off,John Hughes,PG-13,102,1,1,1,1,1
1992,"Few Good Men, A",Rob Reiner,R,138,1,1,1,1,1
1971,Fiddler on the Roof,Norman Jewison,G,181,0,0,0,0,0
1999,Fight Club,David Fincher,R,139,1,1,1,1,1
2000,Finding Forrester,Gus Van Sant,PG-13,136,1,0,1,0,1
2003,Finding Nemo,Andrew Stanton,G,100,1,1,1,1,1
1982,First Blood,Ted Kotcheff,R,97,1,0,0,0,1
1988,"Fish Called Wanda, A",Charles Crichton,R,108,0,1,0,1,1
1991,"Fisher King, The",Terry Gilliam,R,137,0,0,1,0,1
1964,"Fistful of Dollars, A",Sergio Leone,R,99,1,0,1,0,1
1972,Fists of Fury,Wei Lo,R,107,1,0,0,1,0
1999,Flawless,Joel Schumacher,R,112,0,0,1,0,1
1986,Flight of the Navigator,Randy Kleiser,PG,90,1,0,1,0,0
2001,Focus,Neil Slavin,PG-13,106,0,0,1,0,1
2003,Fog of War,Errol Morris,PG-13,95,0,0,1,0,1
1980,"Fog, The",John Carpenter,R,89,0,0,0,0,1
1998,Following,Christopher Nolan,R,69,0,0,0,0,1
1984,Footloose,Herbert Ross,PG,107,1,0,0,0,1
1965,For a Few Dollars More,Sergio Leone,R,130,0,0,1,1,1
1940,Foreign Correspondent,Alfred Hitchcock,NR,120,0,0,0,0,1
2008,Forgetting Sarah Marshall,Nicholas Stoller,R,111,0,0,0,0,0
